,EAP,HPL,MWS
0,7.065113921116771e-68,3.4231548212418317e-68,9.070830421437188e-65
0,4.386390807824141e-51,2.2923347979552913e-45,1.3671656935277768e-47
0,1.6579600430224512e-21,6.864787879674724e-22,4.321613455387733e-22
0,2.459218409150957e-88,2.6707738485929196e-90,6.503307242588478e-89
0,2.9117404897593464e-92,1.7479305215177733e-87,6.345822104578436e-87
0,7.977738329400781e-138,4.136502096148866e-149,2.1941770132013587e-150
0,4.200899813841801e-86,1.0665395663576423e-91,4.329155223807137e-92
0,7.235935611220621e-47,1.7565376876621637e-47,5.329447946093751e-49
0,1.1192451748611555e-49,7.829870740598036e-53,1.5276672595811858e-43
0,2.9990632471713814e-65,2.8960346593238235e-68,2.5703993156919075e-70
0,1.0616382361474701e-161,1.0448380578398997e-170,7.061292270898859e-174
0,1.6802795277846702e-44,1.0536538517215633e-48,2.3684283410735794e-43
0,2.9264278754862968e-49,8.624410496699037e-51,4.194032337438981e-47
0,2.4860379280155533e-159,2.8037467355079984e-162,5.940779820278997e-153
0,4.045215689020521e-74,1.7875079332126418e-77,1.451010190353928e-72
0,2.102409759449279e-138,1.58696445555551e-131,2.4556653381008324e-139
0,5.985342186765628e-119,5.509544385852156e-117,3.381791252034106e-123
0,1.1441168166087798e-19,1.3586615683274776e-19,3.378891628752801e-18
0,2.2759214501234127e-149,1.5683729104914971e-152,3.947443724045643e-152
0,1.8143738673270125e-128,3.1583866457074536e-120,1.0384611002974977e-128
0,4.1004770823397273e-20,1.2560709813701332e-21,3.3202998213073123e-21
0,1.5777580551209718e-43,4.467516091758751e-45,1.8128551428925906e-46
0,2.593315065476664e-18,2.3647997967327304e-19,1.0779485077833072e-20
0,7.886423750203828e-59,2.0024489041609229e-56,5.4897961438367506e-61
0,1.1399395559693885e-47,5.777655598302154e-51,1.2904351808010934e-47
0,5.017167615910604e-298,5.37037468194e-313,1.587274226180337e-298
0,5.634631811666434e-109,3.392200113885213e-112,7.468411288979375e-110
0,2.540651246326793e-78,3.072457142776538e-76,2.9440909306520004e-80
0,3.250021312073745e-24,2.664162495568327e-25,1.2228727884764955e-23
0,2.880588864451934e-77,1.6447710577793726e-80,5.859474329242833e-72
0,3.5644316860730425e-155,2.352024618809248e-165,4.3826620281872067e-162
0,1.619765335815769e-46,1.3163277472455634e-48,8.557499620655908e-48
0,2.9670739923999126e-29,1.553100601941247e-29,1.566036976379094e-28
0,1.2035034952335164e-67,5.765880003290141e-72,1.5434947679983274e-61
0,3.075727824332712e-48,4.5398646881210693e-45,4.2022036783547305e-51
0,9.791145447884453e-81,1.754803666491354e-89,1.1275352221042535e-87
0,5.283630466893447e-63,3.0078539794243798e-64,6.671433491180925e-60
0,1.6371239168480193e-54,1.2786205157403206e-54,2.3078410181967283e-56
0,1.532606123413398e-157,2.303239920846897e-152,6.675222161323132e-159
0,9.517856867388679e-40,2.4303579059993318e-40,6.445893043932145e-40
0,1.1482706280453278e-220,2.462174446076863e-237,1.0063856639476261e-238
0,3.6232382755935143e-72,1.1897138308130724e-75,1.7550056043589958e-67
0,1.5797320039403944e-151,7.320150325783325e-147,1.1710398116688694e-153
0,1.1899585025188895e-20,1.887307020943159e-21,1.2164438294953464e-19
0,2.71586246331671e-72,9.120900651058245e-77,5.934866824190551e-78
0,1.0309865418520772e-22,4.1561471133231196e-23,4.238091483595945e-25
0,5.955235771590668e-82,9.9462050789754e-86,5.6954362776054385e-90
0,1.7546937244022252e-99,5.21610977322445e-97,3.623336777145421e-93
0,4.525159245225398e-51,6.267812035788036e-53,4.4256033564547604e-54
0,1.3033787788082534e-18,1.0265118851792147e-18,2.0893781928338017e-18
0,8.113920033380892e-110,3.1476336584623467e-104,6.14833002839098e-112
0,1.309240522825147e-91,1.2511956252170078e-90,6.442857837599835e-94
0,1.620301300848358e-128,2.8398010491488616e-127,3.493201291595607e-119
0,1.2971937037573869e-101,6.569270813303108e-102,7.80731138415597e-103
0,3.059550393575107e-112,1.744012246953158e-114,1.4322071350491545e-117
0,1.9782449848590357e-279,2.1763546304117725e-288,6.133497021310666e-271
0,1.722987801588616e-203,4.3770005582813386e-206,5.267254523335878e-197
0,5.941114989697576e-57,4.777243154923298e-60,1.749015186333188e-54
0,2.8575687192481654e-117,5.308905470474106e-122,4.26928236092646e-119
0,2.9283824420827534e-144,1.2178889064127876e-144,3.1176823513953624e-132
0,7.861179908513259e-73,1.677637885471014e-76,7.280137292043617e-66
0,8.95054858677145e-286,4.815643616389394e-287,1.5668254914741894e-270
0,4.815296579386087e-97,6.750045756597231e-101,7.273570247251522e-102
0,1.5696603542278193e-64,7.868968073212786e-64,1.1018003443541223e-68
0,2.8268353653431837e-111,7.777403722421049e-116,3.4026566407552963e-109
0,2.365211793684355e-19,8.797230672629323e-21,1.3444948425187086e-22
0,5.888944132627221e-39,3.4285435869890063e-40,5.45287877537807e-37
0,2.138077077443849e-99,2.2385525345717164e-97,4.1711394323018804e-103
0,5.061022827735417e-121,3.5812409884651154e-115,1.4700648656931755e-123
0,2.732912795361013e-78,1.7806062259293587e-77,3.850492935607293e-81
0,8.126980807518658e-50,7.1693790885882395e-53,1.3543977643317734e-48
0,3.4204074295684113e-38,1.2068809188868814e-39,1.8065520813281113e-41
0,2.17252784693995e-283,7.280083440373928e-264,3.696163327442009e-285
0,1.0683468947817502e-211,2.1481034986402313e-226,5.450858078669014e-228
0,1.9407544045265546e-110,2.021565512521008e-118,2.268923860116024e-120
0,4.813336946298005e-66,2.682773767878488e-75,5.726819597835312e-73
0,1.2943325255061127e-199,3.441164992772676e-206,1.3391311255376824e-189
0,2.5774213046139424e-28,1.0264785428292781e-30,2.2156233770616742e-27
0,9.232108109997743e-51,5.588755503388434e-51,4.10358119011826e-55
0,2.8392960368967565e-138,1.6163328443466365e-131,5.653705689933126e-132
0,1.2839652630035437e-42,1.1492810578545586e-43,1.4597672746800258e-41
0,2.3763489190091446e-53,3.537614814425944e-52,1.8774404752432137e-54
0,1.1829938695084665e-269,1.1221417732165006e-274,1.6295929518211697e-282
0,1.788721293624923e-64,1.8074860232167973e-65,5.251920695680853e-64
0,2.9313429825158227e-142,1.1279440443781411e-139,3.1758906720994965e-132
0,2.6007574272408456e-36,2.257174974317468e-34,1.1366472797587588e-36
0,1.2895646992430915e-74,3.184178522044596e-74,2.587977874202897e-76
0,1.0728208105433749e-58,1.4078857898069965e-58,2.3300902302429942e-57
0,7.246614817061082e-81,1.9400476396478364e-80,3.828320887975596e-76
0,2.6208956530149666e-55,2.8259750905891838e-58,2.3505270786262036e-50
0,2.2035100659502637e-78,7.265191192398108e-79,1.1728569820487027e-82
0,9.481157426479455e-26,7.630888188497946e-28,1.5369913849933454e-26
0,6.761319947988676e-77,6.163450340272014e-85,1.1620000831493481e-67
0,7.168993785913962e-94,1.4564826894347197e-88,7.920613757163176e-93
0,2.649303587932054e-86,6.323822415434206e-88,3.053034394792002e-76
0,5.4144253740067846e-111,2.3416540838119846e-106,3.768027097977295e-102
0,1.6116671778950792e-110,4.885934654489071e-105,1.1676989448717777e-113
0,2.5721221652770938e-17,2.493021458383205e-16,1.4592182655108606e-17
0,0.0,0.0,0.0
0,3.451922541320836e-39,1.2694746333133406e-35,2.1087880964516435e-38
0,1.7503164624628118e-212,1.3010961998243039e-216,7.912349661047805e-214
0,1.549055372285048e-35,6.009558334613679e-37,9.256505061946166e-33
0,4.450393171130024e-95,1.53574578672335e-100,1.9600358301658527e-102
0,3.3242323275443764e-293,1.5e-323,0.0
0,7.61439397497561e-134,3.397412254077198e-140,5.199315422799116e-137
0,3.891041610469469e-93,1.1485579766679792e-94,4.4470133784355383e-95
0,8.448099933204396e-93,1.6285767706454193e-95,9.027759521407892e-91
0,2.4071414924811105e-65,3.441132931518814e-62,2.002089461511384e-68
0,1.5039853905458378e-71,2.3543046429748026e-67,2.037821502486065e-70
0,8.694812951533824e-101,4.8510609944390724e-91,6.51272674197365e-100
0,1.6942372564785397e-72,1.5053422876807994e-77,2.046298194494386e-75
0,6.406024220426622e-23,1.5550306925911333e-23,3.6725541970095355e-19
0,2.2400464327974422e-70,3.439701818627804e-73,4.509571328387517e-68
0,3.2064175590722573e-118,1.3415064900028688e-124,1.0169381614646324e-110
0,6.49018496215786e-71,9.592569366414376e-74,1.581074248805514e-70
0,1.327439546000396e-47,4.5671476948727144e-49,1.431990933744816e-48
0,3.7277409562387253e-66,2.7378761194823725e-68,7.886965623401108e-58
0,3.040072648206738e-70,3.2171502472706138e-71,9.959568776105461e-71
0,5.028801568032215e-71,1.8624597467864636e-73,3.0949750375069924e-75
0,4.7324005935689644e-51,2.350994545555622e-58,9.078353143187093e-56
0,3.610803475575935e-46,2.4332612961154673e-44,1.764110822571875e-48
0,6.775430156340224e-90,3.956189841962364e-91,9.446011393831426e-88
0,1.2574750232226931e-25,3.9831264812866843e-25,8.259774627231177e-26
0,1.7691805290883672e-55,2.160075405361203e-55,2.2157911274410313e-55
0,5.013034472523085e-187,3.996863588668304e-174,5.569269181949731e-188
0,1.0300836471961584e-99,7.825103748705739e-98,4.673893618681124e-94
0,5.678583791943485e-167,3.1620517890232045e-174,4.959498595669348e-165
0,1.8307564691552823e-82,6.224377224165131e-86,3.234490762331385e-86
0,1.156180300014803e-123,6.653311942243627e-131,1.63635667127374e-135
0,1.0534570472537614e-80,1.5056346106406568e-82,1.5360125204295677e-79
0,1.2755031388699857e-94,2.5045452357776118e-95,1.5418793826917144e-95
0,7.025349115567052e-62,1.0808774920496085e-65,2.475378886724127e-68
0,6.235720271662481e-88,6.687454712201942e-89,9.585927335686189e-90
0,6.102362726195196e-59,8.972139074090772e-59,1.764226554764171e-59
0,1.0445212123141162e-23,1.7692443328855145e-24,4.4573514590024364e-26
0,2.426303569776744e-37,3.733750322041841e-39,7.964581463448333e-39
0,1.3199755979377484e-25,3.336911543291964e-27,9.430985127948477e-28
0,6.758195531935205e-44,1.4186322748424799e-43,2.1345418543336798e-43
0,3.1918340210950947e-87,7.046227582416705e-81,1.1470807873908074e-92
0,2.1204931161407463e-75,1.0423757044556178e-76,6.910497184648076e-78
0,3.155613397321146e-28,1.022184162280373e-28,6.907191381770041e-29
0,8.154106027553909e-100,2.4860248587986692e-102,2.0640298546842174e-104
0,2.0966343556863962e-32,3.278085214297824e-30,4.3345430599393905e-34
0,8.189335219138133e-63,4.335001504142953e-68,6.473911874148404e-57
0,1.1437032359147398e-72,2.6944409051431836e-71,4.232455700245531e-68
0,6.096384397947058e-32,1.0347185120570915e-32,2.3152955895941805e-33
0,1.7008112696336823e-74,1.2980909245886825e-73,1.7548420708348773e-72
0,5.096802520343343e-52,4.0812706915339284e-54,1.0007432720629497e-51
0,1.5514224349346338e-112,2.0295125980174543e-116,2.2979229803176594e-113
0,1.0831063675790012e-19,7.594299245439914e-21,4.591350922403899e-18
0,2.4619575601108202e-120,1.8495247779592116e-127,2.530756422634773e-127
0,2.215455515175431e-69,2.0472156290162277e-65,5.6793795009159705e-70
0,6.273315964146506e-93,3.4566089281064716e-97,3.773072969542919e-93
0,8.786475042349669e-91,6.4496981518088675e-96,1.5744143618124684e-96
0,1.6649374849513373e-200,2.494115062807426e-206,1.3229438367256336e-205
0,7.949631959505254e-67,3.3626237900008686e-64,3.650143939045451e-69
0,6.679958610449879e-41,4.491431851025535e-44,9.460042656251598e-43
0,2.6994851274648105e-36,1.410637131560404e-36,2.557173788530663e-38
0,8.303838500331696e-70,2.3407275975461121e-66,1.0315183613887665e-70
0,7.503483639466071e-54,1.361624735215903e-54,2.8751584179538673e-52
0,3.93327447728055e-60,8.639474119120562e-61,1.0128950237869038e-56
0,4.296782525416999e-28,1.75457510105734e-28,8.742934101941972e-29
0,1.1042583077112104e-119,7.250326266140523e-123,4.479142915775187e-118
0,1.2936418827340814e-115,8.576682930238859e-123,5.573565222220235e-119
0,1.131973338492543e-100,2.5615377140154354e-103,2.908848788294536e-97
0,2.139545655118428e-44,7.145540156146427e-42,1.0422335086313343e-45
0,1.4299648633214463e-21,1.412829575694124e-22,4.698347574817866e-22
0,9.092294545425464e-186,1.4454506116001707e-181,4.4812846608074007e-187
0,3.3294174540397002e-46,6.063884096667175e-51,1.4880826203308498e-43
0,8.518024566346551e-116,2.700688073030663e-107,6.105315074399362e-117
0,8.764510463811591e-58,6.27727906166757e-60,1.7779046254585658e-62
0,3.800065699238012e-106,1.389139289290104e-109,1.2178608632069997e-101
0,1.2410418883184561e-82,9.561612114423832e-75,8.411719294056111e-85
0,1.6833686815177597e-119,2.347579169760794e-114,3.5399674627216453e-122
0,1.0508955561740498e-75,2.1742783238362729e-75,2.9397934203306435e-78
0,2.444743046569304e-47,8.30996052716799e-51,2.048480041261534e-44
0,2.9314963727242214e-46,2.9445947567592605e-49,1.1686996738757845e-49
0,1.247261869877986e-119,3.393700713318473e-112,1.5164665500683452e-122
0,7.627876210979006e-28,6.484306961680682e-28,2.984097756608428e-27
0,3.716038358358155e-47,7.37638661818392e-48,7.589158284964525e-48
0,1.5807312417213106e-127,1.517256563263106e-138,1.6348148793517528e-136
0,1.841670905354964e-212,5.156556955933319e-205,1.40536430496822e-208
0,2.573639056660814e-119,1.0925539868697406e-125,6.54407826152309e-113
0,1.1566490635713935e-93,1.248065316885154e-94,2.3923413932137447e-90
0,2.4561632444222707e-77,7.553940284202823e-75,1.0678993998933543e-79
0,8.38032566388862e-83,1.08556877499975e-81,1.6779921119432615e-85
0,7.260932987033936e-92,4.952656390046858e-90,1.2455977978407405e-92
0,1.6330335285591873e-98,1.3681866438461382e-99,1.0847546797146877e-94
0,2.466126338919247e-47,3.1595997248091608e-49,9.586578375452618e-50
0,9.775860963403117e-160,3.483135893707105e-173,1.0926653265576263e-170
0,1.553406935019507e-55,2.576956436135647e-56,1.0453490194726768e-53
0,1.6322523970006072e-80,4.857760760909105e-83,2.791408077308615e-76
0,2.3289039427819344e-154,1.3775191618889039e-160,9.822352449272016e-155
0,3.097607169535598e-86,2.9660464648175024e-85,1.6480962743591584e-82
0,4.531310472842989e-25,3.78736510416424e-24,3.8624348517989133e-26
0,2.5334411381370377e-100,4.54560506112651e-111,8.85080228222693e-115
0,8.675766662403767e-31,3.0504370634477973e-32,3.5499980838180916e-31
0,1.681907004979301e-109,5.69962291130666e-110,2.380419233142383e-107
0,1.8568843562528854e-105,2.065951895828908e-108,7.019007500965811e-106
0,4.826223727091105e-62,1.7549075164078975e-59,3.018257433522093e-63
0,6.538598082389246e-22,8.701034207055052e-23,2.6563797066076513e-22
0,4.18258801333632e-25,6.6875345607210645e-28,1.4877872467871505e-25
0,1.377722111955539e-106,6.321889419364378e-102,4.605733378298426e-108
0,5.860052933488398e-27,4.056557739567148e-28,6.859570482281667e-27
0,3.6517730333558092e-34,2.656227213301222e-34,2.8357481203569057e-31
0,3.953783910065655e-157,1.6732448662394347e-157,4.286600259166795e-148
0,2.2226700155147662e-85,9.791740291333194e-89,6.067354017977732e-87
0,1.7123130192414568e-102,3.339001816710698e-104,1.0673056764031507e-99
0,7.697655858231013e-165,3.419404425246008e-169,7.9723353893218e-152
0,4.7842826170025616e-29,1.4073618038615362e-29,1.9854052309606148e-29
0,1.693220420013263e-56,1.042397172585062e-62,9.917070861617681e-61
0,3.044747287201058e-48,6.991821212726436e-49,2.875670618729012e-44
0,7.68903880844174e-70,2.8090206283749387e-67,1.8556596164198598e-67
0,4.9295240764181785e-76,4.701507530663697e-71,9.253586028490989e-80
0,8.265265987458193e-67,1.45213143769201e-69,3.2713010727902516e-67
0,4.069572830938484e-30,7.699406441259515e-33,3.888251504454724e-33
0,4.800915305098838e-71,1.22234793237148e-66,3.054021351122488e-67
0,3.661628448568307e-66,2.351603697423815e-63,2.123792836635093e-64
0,8.01421813028667e-149,1.2257399267232159e-144,4.9608771648221704e-149
0,2.889787753117852e-47,9.64965537941086e-51,5.464457599152169e-45
0,4.947182644828706e-41,2.1912282230483e-40,1.330428570422406e-40
0,4.170023882764393e-82,1.81957620333719e-85,1.833934026934172e-83
0,5.624098151171772e-48,3.0642157674276507e-50,1.9226218079212e-48
0,1.2410167221718134e-197,1.1757761277858626e-211,8.684083901983447e-207
0,1.1881231838789199e-24,3.1609097819965467e-25,1.1062814118983794e-25
0,3.0738519260295204e-127,4.4781706389797396e-132,6.952313045787887e-132
0,7.991114005199564e-53,2.103059134775514e-53,1.780497186724243e-52
0,1.7572859629455699e-144,3.7186990410148614e-139,3.530892945020547e-152
0,7.592237445040468e-21,1.0203114969858632e-20,2.973046253408736e-20
0,4.063854105279643e-91,4.84120769086325e-97,9.016912135487509e-87
0,8.367829273535685e-75,9.06474442909156e-74,2.081164359289119e-76
0,2.5671509136730216e-31,2.44216502530135e-28,6.029203861568443e-31
0,7.094512110704427e-47,2.1169549965316143e-47,1.4298059041664724e-45
0,1.2750794532793353e-147,4.2002268791502293e-144,1.6774650184554982e-144
0,1.212728492542902e-140,2.974749696509982e-135,1.6374652999645387e-138
0,3.8755873838535376e-98,8.139580713835753e-92,1.3288715008977559e-95
0,7.652395608940275e-132,7.716718267655093e-126,3.7110728555073695e-126
0,3.657007143922791e-44,2.5742690591661847e-47,4.4115578436911947e-44
0,3.5247417267659728e-115,3.0361943098894766e-111,4.366642569479536e-117
0,5.5749181821111254e-92,4.9453211383264376e-95,1.2875520298402527e-86
0,9.407543727085861e-67,2.6170727640836145e-71,3.1794211364708454e-65
0,4.44232859782028e-80,2.9681271197257685e-88,8.42537519914357e-87
0,9.14108667456808e-53,9.320220118719646e-54,1.0580636984290127e-54
0,5.789688838261347e-69,1.6665844527689918e-65,1.97690712905714e-68
0,3.6851429692841616e-136,7.009972539208296e-135,7.118169358980076e-124
0,1.6993767167590018e-46,8.436578117103072e-47,1.0303902039753817e-46
0,8.174908820817238e-90,1.287206647100954e-97,4.807707434446586e-93
0,5.847295375702313e-58,3.467056626857813e-55,5.085222211237222e-56
0,1.0847589457595357e-151,1.4533395295038532e-166,2.6454420852447235e-170
0,9.02542883160665e-53,2.0116575974357073e-49,2.3155167809409173e-54
0,6.069099312766251e-52,1.6659886308803792e-53,9.798209079927218e-53
0,5.684597015043996e-77,3.046239280674653e-82,3.774852470942088e-79
0,5.696547329577697e-28,4.155467554486269e-28,2.4729421018619985e-28
0,2.4970261085616244e-69,6.9901245205304795e-74,3.866415326394527e-70
0,5.620617295718325e-106,2.3179416843128336e-101,2.510651763922693e-111
0,7.864571350508335e-49,1.1361905986622482e-47,5.612243611468273e-50
0,4.167110194534965e-140,4.9763560475579844e-136,2.847863392671719e-138
0,1.4312331211452378e-94,1.504093827414986e-96,4.6819691540976654e-98
0,1.4650143318460206e-34,3.2080109357155e-34,3.954532137467581e-34
0,5.943807035389423e-148,1.243142489529363e-153,7.789628524004186e-156
0,2.1340050177455652e-67,8.750831304631075e-68,2.820477107153774e-66
0,9.344280289314654e-95,3.3700538009935087e-90,1.7363506974349659e-100
0,3.912889418645625e-184,1.9175488228426427e-173,6.568017756824122e-179
0,3.759754697904753e-27,2.4943725208541497e-30,8.876100630570786e-29
0,3.7014333129882704e-58,1.1741463848511028e-57,9.853933197926357e-59
0,6.6681887271186085e-167,3.1149043416730568e-173,3.981158053495806e-161
0,1.0043800062323713e-100,3.5569641153796346e-106,7.38410009729768e-101
0,2.418915567375409e-67,5.385403916758154e-75,8.503625898642145e-73
0,2.2416648126143092e-85,4.11145772994078e-87,7.343670386018568e-88
0,2.8541368077532654e-105,1.0432486491829075e-103,1.1057881463559713e-105
0,4.324806566483123e-51,4.698540243814533e-50,2.0704649871742585e-50
0,1.0194217289991187e-43,5.924515428859934e-45,3.386021231970392e-43
0,6.589414504032107e-26,1.7662574585471965e-24,5.7089226009890585e-25
0,2.1955256312850487e-81,7.626073030458551e-85,1.7486564972980237e-74
0,2.6938768376002232e-92,2.8392396045445182e-98,3.191038900456717e-97
0,2.692678527933941e-115,1.2314777303573423e-115,9.729586485308597e-120
0,3.6249802119518926e-98,1.6542459434840375e-93,3.0042821277408507e-96
0,2.2216409994623457e-56,1.8068143322237455e-63,3.276028448381471e-60
0,2.945358382895773e-47,1.7947537418601868e-47,6.742413106186604e-50
0,8.550625527983812e-103,1.5537600223598313e-108,8.142337975965232e-111
0,3.4699339320884184e-20,1.5769358659602155e-21,1.0502358873950448e-17
0,2.675415219202771e-27,3.313853523855286e-30,7.65661212001315e-29
0,5.051062548940555e-106,1.830853880359369e-109,5.8970668039492136e-111
0,2.1723710569703e-118,3.16467315077751e-121,2.6107300928249832e-117
0,4.836594104767091e-117,1.8905500408550273e-112,7.281899833283001e-119
0,5.1258470921027625e-58,3.3122762962858424e-61,7.598338089620196e-57
0,4.933189904490724e-95,2.610717160968862e-97,3.0242367252076352e-89
0,2.6434730839822916e-31,5.649322568727294e-32,5.392416516763302e-31
0,1.4798963795652445e-73,4.320287969958966e-74,1.5502688844648735e-71
0,2.4807343335603074e-96,3.9466169365211166e-98,8.626490275884172e-88
0,1.0832448199765724e-96,1.4253751255684887e-88,2.20979041265053e-97
0,1.0392852615195461e-81,9.612923770944879e-82,1.7351170990670676e-83
0,6.234588257379733e-94,5.057857082466104e-88,2.1438576231938032e-93
0,5.0302601567784635e-92,1.2123769715687411e-86,4.229148872145405e-90
0,1.6892979745610395e-56,6.387314550512465e-59,3.8709533764305395e-58
0,1.661280545938077e-139,2.6558646131754264e-146,2.878504897865545e-148
0,1.0691360860223908e-210,1.5004300368053253e-210,6.789649392104156e-196
0,3.246224544276223e-70,1.7159851433088305e-75,5.373415255265962e-75
0,2.0234761536548113e-36,5.500908160618224e-37,2.035022782249303e-35
0,2.776016840060666e-195,7.643378461542498e-203,1.3599175847994516e-177
0,2.6979197567208443e-155,3.097739932682974e-164,8.419806842274644e-172
0,6.961847299495498e-61,3.384750407556069e-66,6.639227062795758e-65
0,6.631332824166978e-79,1.0889920553743088e-77,2.6533650111077813e-80
0,1.2998952395458116e-64,9.957042984094979e-65,1.1115660693637986e-59
0,2.0575904847955568e-35,4.405451101591324e-36,7.762281424459994e-36
0,1.3830245505504433e-118,6.475324917913766e-106,6.003431804856112e-124
0,3.061909343580269e-96,4.738947580707266e-97,2.0404102371952227e-93
0,1.810164629708813e-51,1.2967784662702137e-55,3.088891452186815e-49
0,2.225185360556323e-38,4.309382232893323e-38,6.083102008860216e-38
0,8.075139689960825e-79,2.803363511217955e-82,1.0039742939657816e-83
0,6.662595067382624e-160,1.0438180518344609e-147,2.7135467911769823e-163
0,4.987718675845438e-75,8.069196689268465e-78,4.1729366036106824e-80
0,4.326608014683837e-52,2.9157888721551003e-48,8.293764894699688e-51
0,4.993290496668886e-61,1.0380423858147088e-57,1.6787053162356897e-61
0,7.58424493308067e-132,4.049545499440813e-136,7.273710734060106e-132
0,5.530675400424575e-108,6.522501481501311e-100,7.660331498278823e-112
0,1.1947398407556958e-92,2.684912701452432e-95,4.8807574030314174e-92
0,2.425870634387578e-52,3.457094419961413e-54,4.2571765893551147e-50
0,2.1643273482924674e-115,3.5044464450179385e-126,8.478055865135186e-127
0,1.3081963910532714e-59,2.2182279920161423e-59,3.287273493147081e-56
0,2.0384600548587843e-97,1.3980158066476318e-93,7.39398356986752e-98
0,1.983878721039215e-48,1.3965406504577992e-49,9.920008812241227e-48
0,9.645146309573953e-73,3.48110496461419e-70,2.4982135999995424e-74
0,4.182984017479096e-59,2.285864245996473e-61,6.460022643343333e-56
0,5.019255245150358e-81,2.0995123271428753e-87,2.083570110653381e-90
0,2.8035520310733298e-143,2.8138584319296935e-148,1.196961595956194e-146
0,2.849797349625045e-76,5.946690517617814e-81,5.919741324270249e-83
0,1.1084094454895348e-189,3.4270788228096324e-175,2.8244738503158366e-190
0,3.21985662151954e-95,3.129904437887518e-92,5.165696070449365e-94
0,1.9356457181715668e-113,1.1362758584100642e-114,8.203920926655657e-106
0,1.594403831718052e-138,3.1107405230866093e-133,1.1425465247521059e-140
0,2.3341661579653486e-99,1.455249331807831e-91,2.6974835018943665e-96
0,2.3342495582386995e-124,1.5256409808400894e-115,1.029241767267897e-121
0,1.1490480453221886e-43,4.0524959945272084e-45,2.348284882649338e-46
0,2.676924024176813e-82,1.896591611363316e-84,1.2108403478809152e-84
0,5.995241200008568e-218,1.2260315286543417e-218,9.578274346959374e-212
0,5.585586888076739e-106,5.874589951458706e-105,2.0505926950585186e-105
0,1.1299146559223295e-38,1.0354718569003778e-37,3.6551872791112136e-38
0,3.095888533321735e-82,1.3126104070425137e-82,9.081930615765135e-76
0,1.6305583850339689e-112,9.064891417641187e-115,6.826449884810777e-108
